publication_decision,year,title,faculty,authors_preview,source_or_venue,doi,research_themes,geomatics_approaches,duplicate_status,bibliographic_status,review_notes,publication_id,exception_reasons,recommended_action
hold,,An integrated approach to studying connectivity relationship between terrestrial and coastal marine environments,Ariel C. Blanco,AC Blanco,,,coastal-marine-systems,,none,needs-review,source status is not READY; missing year_for_website support,an-integrated-approach-to-studying-connectivity-relationship-between-terrestri-47dbc399,source status is not READY; missing year_for_website support,keep held for source-register correction
hold,,Change Detection of Mangrove Forests in the Verde Island Passage,Margaux Angelica A. Cruz,11th National Symposium in Marine Science,,,coastal-marine-systems|ecosystems-biodiversity-land-change,,none,needs-review,source status is not READY; missing year_for_website support,change-detection-of-mangrove-forests-in-the-verde-island-passage-7277e802,source status is not READY; missing year_for_website support,keep held for source-register correction
hold,,Detecting and Documenting Landscape Changes in Peñablanca’s Reforestation Site Using Satellite Imagery,Margaux Angelica A. Cruz,Cagayan Valley Program on Environment and Development (CVPED) Conference,,,ecosystems-biodiversity-land-change,earth-observation-remote-sensing,none,needs-review,source status is not READY; missing year_for_website support,detecting-and-documenting-landscape-changes-in-pe-ablanca-s-reforestation-site-1146bc06,source status is not READY; missing year_for_website support,keep held for source-register correction
hold,,Facing the Additionality Challenge in Implementing a Forest Restoration Project for a Protected Area,Margaux Angelica A. Cruz,19th Annual Biodiversity Symposium,,,ecosystems-biodiversity-land-change,,none,needs-review,source status is not READY; missing year_for_website support,facing-the-additionality-challenge-in-implementing-a-forest-restoration-projec-b1b2ef34,source status is not READY; missing year_for_website support,keep held for source-register correction
hold,,Habitat Extent and Degradation in the Agusan Marsh Key Biodiversity Area,Margaux Angelica A. Cruz,18th Annual Philippine Biodiversity Symposium,,,ecosystems-biodiversity-land-change,,none,needs-review,source status is not READY; missing year_for_website support,habitat-extent-and-degradation-in-the-agusan-marsh-key-biodiversity-area-c08b46d9,source status is not READY; missing year_for_website support,keep held for source-register correction
hold,,modeling poverty in the Philippines,Ariel C. Blanco,"L Marquez, A Blanco, E Robles, J Ornos, M Marquez",,,urban-sustainable-systems,environmental-spatial-modeling,none,needs-review,source status is not READY; missing year_for_website support,modeling-poverty-in-the-philippines-34a19fa1,source status is not READY; missing year_for_website support,keep held for source-register correction
pending-review,2010,"A comprehensive assessment of terrestrial loadings and their influence on a fringing reef in Ishigaki Island, Okinawa, Japan",Ariel C. Blanco,"AC BLANCO, K NADAOKA, T YAMAMOTO, A WATANABE, K KINJO, ...","Asian and Pacific Coasts 2009: (In 4 Volumes, with CD-ROM), 228-235",10.1142/9789814287951_0167,coastal-marine-systems,,none,verified,conflicting source titles,a-comprehensive-assessment-of-terrestrial-loadings-and-their-influence-on-a-fr-0ae8d66e,conflicting source titles,review before any approval
pending-review,2015,Mangrove forest extent mapping in Southwestern Luzon using 2015 landsat imagery,Ayin M. Tamondong,"AJ Songcuan, AB Baloloy, AC Blanco, LT David, GA Go, IE Cadalzo, ...","Proceedings of the 36th Asian Conference on RS (ACRS), Quezon City …",,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,possible-duplicate,source-supported,unresolved possible-duplicate,mangrove-forest-extent-mapping-in-southwestern-luzon-using-2015-landsat-imager-569f6518,unresolved possible-duplicate,review before any approval
pending-review,2017,Mangrove Forest Extent Mapping in Southwestern Luzon Using 2015 Landsat Imagery,Ariel C. Blanco,A Blanco,,,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,possible-duplicate,source-supported,unresolved possible-duplicate,mangrove-forest-extent-mapping-in-southwestern-luzon-using-2015-landsat-imager-12c515aa,unresolved possible-duplicate,review before any approval
pending-review,2023,Spatio-temporal characterization of Manila Bay using optical water type and water quality mapping using Sentinel-3 OLCI images,Ariel C. Blanco|Jommer M. Medina,"JM Medina, RL Jalbuena, RAB Torres, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",,water-air-environmental-quality,earth-observation-remote-sensing|gis-spatial-analytics,none,source-supported,conflicting source titles,spatio-temporal-characterization-of-manila-bay-using-optical-water-type-and-wa-cce5a946,conflicting source titles,review before any approval
