publicationId,title,year,facultyRelationships,reviewDecision,visibilityAfterPublish,reviewNotes
an-integrated-approach-to-studying-connectivity-relationship-between-terrestri-47dbc399,An integrated approach to studying connectivity relationship between terrestrial and coastal marine environments,,ariel-c-blanco,hold,internal,Source review status: REVIEW - unresolved year
change-detection-of-mangrove-forests-in-the-verde-island-passage-7277e802,Change Detection of Mangrove Forests in the Verde Island Passage,,margaux-angelica-a-cruz,hold,internal,Source review status: REVIEW - unresolved year
detecting-and-documenting-landscape-changes-in-pe-ablanca-s-reforestation-site-1146bc06,Detecting and Documenting Landscape Changes in Peñablanca’s Reforestation Site Using Satellite Imagery,,margaux-angelica-a-cruz,hold,internal,Source review status: REVIEW - unresolved year
facing-the-additionality-challenge-in-implementing-a-forest-restoration-projec-b1b2ef34,Facing the Additionality Challenge in Implementing a Forest Restoration Project for a Protected Area,,margaux-angelica-a-cruz,hold,internal,Source review status: REVIEW - unresolved year
habitat-extent-and-degradation-in-the-agusan-marsh-key-biodiversity-area-c08b46d9,Habitat Extent and Degradation in the Agusan Marsh Key Biodiversity Area,,margaux-angelica-a-cruz,hold,internal,Source review status: REVIEW - unresolved year
modeling-poverty-in-the-philippines-34a19fa1,modeling poverty in the Philippines,,ariel-c-blanco,hold,internal,Source review status: HOLD - probable duplicate candidate
design-and-development-of-an-electronic-nose-system-to-control-the-processing-5b6d5001,Design and Development of an Electronic Nose System to Control the Processing of Dry Cured Iberian Hams Monitored via Internet in Electronic Noses and Olfaction 2000,2000,ariel-c-blanco,pending-review,internal,
bio-optical-modeling-of-laguna-de-bay-waters-and-applications-to-lake-monitori-bdebef44,Bio-Optical Modeling of Laguna de Bay Waters and Applications to Lake Monitoring Using ASTER Data,2003,ariel-c-blanco,pending-review,internal,
field-survey-on-hydrodynamics-and-water-quality-in-manila-bay-and-laguna-lake-6415fbe4,Field survey on hydrodynamics and water quality in Manila Bay and Laguna Lake,2003,ariel-c-blanco,pending-review,internal,
integrated-use-of-gis-and-hydrological-models-for-targeting-areas-tool-for-ass-706d68cb,Integrated Use of GIS and Hydrological Models for Targeting Areas: Tool for Assisting a Participatory Soil and Water Conservation Program,2003,ariel-c-blanco,pending-review,internal,
