publication_id,title,year,research_themes,geomatics_approaches,taxonomy_status,review_notes
change-detection-of-mangrove-forests-in-the-verde-island-passage-7277e802,Change Detection of Mangrove Forests in the Verde Island Passage,,coastal-marine-systems|ecosystems-biodiversity-land-change,,multiple themes,
design-and-development-of-an-electronic-nose-system-to-control-the-processing-5b6d5001,Design and Development of an Electronic Nose System to Control the Processing of Dry Cured Iberian Hams Monitored via Internet in Electronic Noses and Olfaction 2000,2000,,,no theme,
bio-optical-modeling-of-laguna-de-bay-waters-and-applications-to-lake-monitori-bdebef44,Bio-Optical Modeling of Laguna de Bay Waters and Applications to Lake Monitoring Using ASTER Data,2003,,earth-observation-remote-sensing|environmental-spatial-modeling|geovisualization-decision-support,no theme,
integrated-use-of-gis-and-hydrological-models-for-targeting-areas-tool-for-ass-706d68cb,Integrated Use of GIS and Hydrological Models for Targeting Areas: Tool for Assisting a Participatory Soil and Water Conservation Program,2003,,gis-spatial-analytics,no theme,
connectivity-and-impact-assessment-of-land-use-cover-and-benthic-cover-change-cb67f416,Connectivity and impact assessment of land use/cover and benthic cover change by advance remote sensing analysis,2005,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,multiple themes,
2005-6ce15bb3,衛星データに基づく八重山諸島における土地利用・植生被覆の長期的変遷と周辺サンゴ礁域の海底被覆状態変化の関係解析,2005,,,no theme,
complementarity-of-sensor-based-measurements-and-community-perception-for-moni-7044512d,Complementarity of sensor-based measurements and community perception for monitoring and management of seawater quality,2006,coastal-marine-systems|water-air-environmental-quality,,multiple themes,
spatial-and-temporal-distribution-composition-of-nutrients-microalgae-and-cdom-5e145ef6,"Spatial and temporal distribution composition of nutrients, microalgae and CDOM in Shiraoh reef, ishigaki island",2007,coastal-marine-systems|water-air-environmental-quality,,multiple themes,
comprehensive-circulation-and-water-quality-investigation-of-the-coastal-lagoo-7aa94dd8,"Comprehensive circulation and water quality investigation of the coastal lagoon: Puerto Galera, The Philippines",2008,coastal-marine-systems|water-air-environmental-quality,,multiple themes,
assessment-of-philippine-coastal-vulnerability-to-sea-level-rise-using-rs-and-a026c99f,"Assessment of Philippine Coastal Vulnerability to Sea Level Rise Using RS and GIS: A Case Study of Bolinao, Pangasinan",2009,climate-hazards-resilience|coastal-marine-systems,gis-spatial-analytics,multiple themes,
dynamic-evolution-of-nutrient-discharge-under-stormflow-and-baseflow-condition-781ae7d6,"Dynamic evolution of nutrient discharge under stormflow and baseflow conditions in a coastal agricultural watershed in Ishigaki Island, Okinawa, Japan",2010,coastal-marine-systems|ecosystems-biodiversity-land-change|water-air-environmental-quality,,multiple themes,
remote-sensing-and-gis-based-assessment-of-coastal-vulnerability-of-bolinao-pa-e362e20b,"Remote sensing and GIS-based assessment of coastal vulnerability of Bolinao, Pangasinan to sea level rise",2010,climate-hazards-resilience|coastal-marine-systems,earth-observation-remote-sensing|gis-spatial-analytics,multiple themes,
roles-of-sporadic-intrusion-of-outer-sea-water-in-water-exchange-and-water-qua-f12c2d60,"Roles of sporadic intrusion of outer sea water in water exchange and water quality variations in the coastal lagoon of puerto galera, philippines",2010,coastal-marine-systems|water-air-environmental-quality,,multiple themes,
a-partnership-for-sustainable-lake-environment-collaborative-monitoring-and-re-1f55a6ce,"A partnership for sustainable lake environment: collaborative monitoring and research on Laguna de Bay, Philippines, for management of resource use and ecosystem conservation",2011,,,no theme,
advanced-systems-for-detection-of-toxic-substances-towards-a-more-eco-efficien-4989e592,ADVANCED SYSTEMS FOR DETECTION OF TOXIC SUBSTANCES. TOWARDS A MORE ECO-EFFICIENT AIRCRAFT,2011,,,no theme,
estimation-of-nearshore-groundwater-discharge-and-its-potential-effects-on-a-f-dfbb376c,Estimation of nearshore groundwater discharge and its potential effects on a fringing coral reef,2011,coastal-marine-systems|water-air-environmental-quality,,multiple themes,
assessment-of-coastal-vulnerability-to-sea-level-rise-of-bolinao-pangasinan-us-63e12e19,"Assessment of coastal vulnerability to sea level rise of Bolinao, Pangasinan using remote sensing and geographic information systems",2012,climate-hazards-resilience|coastal-marine-systems,earth-observation-remote-sensing,multiple themes,
assessment-of-coastal-vulnerability-to-sea-level-rise-using-remote-sensing-rs-1f8cacfa,"Assessment of coastal vulnerability to sea level rise using remote sensing (RS) and geographic information systems (GIS): a case study of Bolinao, Pangasinan, Philippines",2012,climate-hazards-resilience|coastal-marine-systems,earth-observation-remote-sensing|gis-spatial-analytics,multiple themes,
integrated-use-of-electrical-resistance-tomography-and-radon-monitoring-for-ch-05865674,INTEGRATED USE OF ELECTRICAL RESISTANCE TOMOGRAPHY AND RADON MONITORING FOR CHARACTERIZING SUBMARINE GROUNDWATER DISCHARGE DYNAMICS IN A FRINGING REEF,2012,coastal-marine-systems|water-air-environmental-quality,,multiple themes,
integrated-use-of-remote-sensing-gis-and-swat-model-to-explore-climate-change-dea1dba8,"Integrated use of remote sensing, GIS and swat model to explore climate change effects on river discharge in the Cagayan river Basin and land cover-based adaptation measures",2012,climate-hazards-resilience|ecosystems-biodiversity-land-change,earth-observation-remote-sensing|environmental-spatial-modeling|gis-spatial-analytics,multiple themes,
improved-classification-of-moderate-resolution-satellite-image-using-band-rati-ca0eaf82,"IMPROVED CLASSIFICATION OF MODERATE RESOLUTION SATELLITE IMAGE USING BAND RATIO, NBAI AND PC TRANSFORM",2013,,earth-observation-remote-sensing|geoai-spatial-data-science,no theme,
mapping-of-seagrass-and-other-benthic-habitats-in-bolinao-pangasinan-using-wor-19106cde,"Mapping of seagrass and other benthic habitats in Bolinao, Pangasinan using Worldview-2 satellite image",2013,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,multiple themes,
phenological-changes-in-alaminos-and-bani-watersheds-derived-using-modis-data-f2c36ea3,Phenological Changes in Alaminos and Bani Watersheds Derived Using MODIS Data: Indications of Salinity Intrusion,2013,ecosystems-biodiversity-land-change|water-air-environmental-quality,earth-observation-remote-sensing,multiple themes,
seasonal-variability-of-water-quality-around-patch-reefs-inside-a-lagoon-from-24a3a297,Seasonal variability of water quality around patch reefs inside a lagoon from its interaction with outer sea,2013,coastal-marine-systems|water-air-environmental-quality,,multiple themes,
spatiotemporal-variations-in-co2-flux-in-a-fringing-reef-simulated-using-a-nov-c8064ef1,Spatiotemporal variations in CO2 flux in a fringing reef simulated using a novel carbonate system dynamics model,2013,coastal-marine-systems|water-air-environmental-quality,environmental-spatial-modeling|gis-spatial-analytics,multiple themes,
swat-model-for-assessment-of-climate-change-and-land-use-land-cover-change-imp-bfef776d,Swat Model for Assessment of Climate Change and Land Use/Land Cover Change Impact on Philippine Soil Loss and Exploration of Land Cover-Based Mitigation Measures: Case of Cagayan,2013,climate-hazards-resilience|ecosystems-biodiversity-land-change,environmental-spatial-modeling,multiple themes,
feature-classification-using-supervised-classification-support-vector-machines-fed1adbe,FEATURE CLASSIFICATION USING SUPERVISED CLASSIFICATION SUPPORT VECTOR MACHINES,2014,,geoai-spatial-data-science,no theme,
a-multi-scale-approach-for-benthic-habitat-mapping-of-shallow-water-region-of-1a90250a,"A multi-scale approach for benthic habitat mapping of shallow water region of Guiuan, Eastern Samar using a 4-band high resolution WorldView-2 satellite image using object-based image analysis",2015,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,multiple themes,
development-of-the-philippine-hydrologic-dataset-phd-from-lidar-and-other-remo-f661fea6,Development of the Philippine Hydrologic Dataset (PHD) from LiDAR and other remotely-sensed data,2015,,lidar-photogrammetry-3d-geomatics,no theme,
mangrove-forest-extent-mapping-in-siargao-island-surigao-del-norte-philippines-37448696,"MANGROVE FOREST EXTENT MAPPING IN SIARGAO ISLAND, SURIGAO DEL NORTE, PHILIPPINES USING SUPPORT VECTOR MACHINE (SVM) CLASSIFICATION",2015,coastal-marine-systems|ecosystems-biodiversity-land-change,geoai-spatial-data-science,multiple themes,
mangrove-forest-extent-mapping-in-southwestern-luzon-using-2015-landsat-imager-569f6518,Mangrove forest extent mapping in Southwestern Luzon using 2015 landsat imagery,2015,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,multiple themes,
object-based-image-analysis-for-benthic-habitat-mapping-using-lidar-derivative-f688a4e2,Object-Based Image Analysis for Benthic Habitat Mapping using LiDAR Derivatives,2015,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing|lidar-photogrammetry-3d-geomatics,multiple themes,
the-phil-lidar-2-program-national-resource-inventory-of-the-philippines-using-c42abbf8,The Phil-LiDAR 2 program: National resource inventory of the Philippines using LiDAR and other remotely sensed data,2015,,lidar-photogrammetry-3d-geomatics,no theme,
the-phil-lidar-2-program-national-resource-inventory-of-the-philippines-using-61ba2bf3,The Phil-LiDAR 2 Program: National resource inventory of the Philippines using LiDAR and other remotely sensed Data. The International Archives of the Photogrammetry,2015,,lidar-photogrammetry-3d-geomatics,no theme,
a-framework-for-capacity-building-in-mapping-coastal-resources-using-remote-se-58429141,A framework for capacity building in mapping coastal resources using remote sensing in the Philippines,2016,coastal-marine-systems|urban-sustainable-systems,earth-observation-remote-sensing,multiple themes,
