publicationId,title,year,authors,sourceOrVenue,publicationType,doi,url,facultyRelationships,researchThemes,geomaticsApproaches,visibility,bibliographicStatus,sourceProvenance,internalNotes,sourceRows,sourceReviewStatuses
an-integrated-approach-to-studying-connectivity-relationship-between-terrestri-47dbc399,An integrated approach to studying connectivity relationship between terrestrial and coastal marine environments,,AC Blanco,,other,,,ariel-c-blanco,coastal-marine-systems,,internal,needs-review,Supplied Google Scholar profile copy,Source review status: REVIEW - unresolved year,234,REVIEW - unresolved year
change-detection-of-mangrove-forests-in-the-verde-island-passage-7277e802,Change Detection of Mangrove Forests in the Verde Island Passage,,11th National Symposium in Marine Science,,other,,,margaux-angelica-a-cruz,coastal-marine-systems|ecosystems-biodiversity-land-change,,internal,needs-review,Supplied Google Scholar profile copy,Source review status: REVIEW - unresolved year,348,REVIEW - unresolved year
detecting-and-documenting-landscape-changes-in-pe-ablanca-s-reforestation-site-1146bc06,Detecting and Documenting Landscape Changes in Peñablanca’s Reforestation Site Using Satellite Imagery,,Cagayan Valley Program on Environment and Development (CVPED) Conference,,other,,,margaux-angelica-a-cruz,ecosystems-biodiversity-land-change,earth-observation-remote-sensing,internal,needs-review,Supplied Google Scholar profile copy,Source review status: REVIEW - unresolved year,350,REVIEW - unresolved year
facing-the-additionality-challenge-in-implementing-a-forest-restoration-projec-b1b2ef34,Facing the Additionality Challenge in Implementing a Forest Restoration Project for a Protected Area,,19th Annual Biodiversity Symposium,,other,,,margaux-angelica-a-cruz,ecosystems-biodiversity-land-change,,internal,needs-review,Supplied Google Scholar profile copy,Source review status: REVIEW - unresolved year,349,REVIEW - unresolved year
habitat-extent-and-degradation-in-the-agusan-marsh-key-biodiversity-area-c08b46d9,Habitat Extent and Degradation in the Agusan Marsh Key Biodiversity Area,,18th Annual Philippine Biodiversity Symposium,,other,,,margaux-angelica-a-cruz,ecosystems-biodiversity-land-change,,internal,needs-review,Supplied Google Scholar profile copy,Source review status: REVIEW - unresolved year,351,REVIEW - unresolved year
modeling-poverty-in-the-philippines-34a19fa1,modeling poverty in the Philippines,,"L Marquez, A Blanco, E Robles, J Ornos, M Marquez",,other,,,ariel-c-blanco,urban-sustainable-systems,environmental-spatial-modeling,internal,needs-review,Supplied Google Scholar profile copy,Source review status: HOLD - probable duplicate candidate,224,HOLD - probable duplicate candidate
design-and-development-of-an-electronic-nose-system-to-control-the-processing-5b6d5001,Design and Development of an Electronic Nose System to Control the Processing of Dry Cured Iberian Hams Monitored via Internet in Electronic Noses and Olfaction 2000,2000,"MC Horrillo, I Sayago, MJ Fernández, R Gómez-Espinosa, A Blanco, ...","Institute of Physics publishing, Bristol and Philadelphia",other,,,ariel-c-blanco,,,internal,source-supported,Supplied Google Scholar profile copy,,99,READY - supported title and year
bio-optical-modeling-of-laguna-de-bay-waters-and-applications-to-lake-monitori-bdebef44,Bio-Optical Modeling of Laguna de Bay Waters and Applications to Lake Monitoring Using ASTER Data,2003,"EC Paringit, K Nadaoka, MCD Rubio, H Tamura, AC Blanco","Proceedings of the KSRS Conference, 667-669",other,,,ariel-c-blanco,,earth-observation-remote-sensing|environmental-spatial-modeling|geovisualization-decision-support,internal,source-supported,Supplied Google Scholar profile copy,,217,READY - supported title and year
field-survey-on-hydrodynamics-and-water-quality-in-manila-bay-and-laguna-lake-6415fbe4,Field survey on hydrodynamics and water quality in Manila Bay and Laguna Lake,2003,"H Tamura, K Nadaoka, E Paringit, FP Siringan, GQ Tabios III, CL Villanoy, ...",Proceedings of the symposium on environmental issues related to …,other,,,ariel-c-blanco,water-air-environmental-quality,environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,138,READY - supported title and year
integrated-use-of-gis-and-hydrological-models-for-targeting-areas-tool-for-ass-706d68cb,Integrated Use of GIS and Hydrological Models for Targeting Areas: Tool for Assisting a Participatory Soil and Water Conservation Program,2003,AC Blanco,"University of Melbourne, Department of Geomatics",other,,,ariel-c-blanco,,gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,218,READY - supported title and year
