record_id,year,thesis_title,association_basis,publication_decision,reasons,review_notes
bsge-2026-125,2026,"Analysis and Classification of Dominant Algal Bloom Phytoplankton Groups Using XGBoost with GCOM-C/SGLI Products and In Situ Data in Bolinao and Anda, Pangasinan",main-adviser,approve,missing abstract; missing keywords,
bsge-2026-124,2026,Assessment of Carbon Stock Changes in Aquaculture-Converted Mangrove Ecosystems in Aklan Using Global Ecosystem Dynamics Investigation (GEDI) LiDAR,main-adviser,approve,missing abstract; missing keywords; suspicious/combined co-adviser cell,
bsge-2026-123,2026,"Seagrass Aboveground Biomass–Based Carbon Stock Estimation in Bongao, Tawi-Tawi and Mansalay, Oriental Mindoro, through Remote Sensing",main-adviser,approve,missing abstract; missing keywords,
bsge-2025-118,2025,Aboveground Biomass Estimation of Rice Crops (Oryza sativa L.) Utilizing Parameters Derived From UAV-Based LiDAR And Multispectral Satellite Sensors,main-adviser,approve,suspicious/combined co-adviser cell,
bsge-2025-119,2025,"Assessing the Relationship between Coastal Reclamation and Seagrass Ecosystems in Coron, Palawan using Multitemporal Remote Sensing, Shoreline Change Analysis, and Turbidity Mapping",main-adviser,approve,suspicious/combined co-adviser cell,
bsge-2025-121,2025,"FLOATING PHOTOVOLTAIC POTENTIAL ASSESSMENT OF ANGAT RESERVOIR, PHILIPPINES USING REMOTE SENSING AND GEOGRAPHIC INFORMATION SYSTEM",co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2025-115,2025,Informal Settlement Detection Within Quezon City Through Various Convolutional Neural Network Models,co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2025-117,2025,Marine Litter Accumulations in Remote Sensing and Particle Tracking Models in Manila Bay Pasig River Outfall,main-adviser,approve,suspicious/combined co-adviser cell,
bsge-2025-111,2025,SOCIO-SPATIAL JUSTICE IN REBUILDING COMMUNITIES: A SOCIO-SPATIAL INEQUALITY ANALYSIS OF ORIGINAL SETTLEMENT AREA AND RELOCATION AREA,co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
bsge-2025-114,2025,Spatial and Socioeconomic Drivers of Land Use Change in High-Density Residential Areas (R-3) in Quezon City: A Predictive Simulation Using the Cellular Automata-Markov Chain Model,co-adviser-only,approve,co-adviser-only; non-affiliated authors; co-advised-only association,
