exception_type,classification,source_row,thesis_id,year,thesis_title,details,review_status,review_notes
missing keywords,manual review required,3,bsge-2014-002,2014,A Multi-Method Approach for Classification of Multibeam Echosounder Data for Benthic Habitat Mapping,Source keywords are blank; do not fabricate.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,14,bsge-2017-013,2017,Estimation of Blue Carbon Stocks from Mangroves using Remotely-sensed Datasets,Main adviser 'Anjillyn Mae C. Perez' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,28,bsge-2017-027,2017,"Chlorophyll-a Estimation in San Pablo Bay, Leyte using RS Based Models",Main adviser 'Roseanne V. Ramos' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.,pending-review,
missing keywords,manual review required,34,bsge-2018-033,2018,Parking Pattern Assessment and Optimal Parking Space Analysis using GIS: The Case Study of Quezon City Central Business District,Source keywords are blank; do not fabricate.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,46,bsge-2018-045,2018,Using Remote Sensing and ARIMA Modelling in Assessing the Effectiveness of Implemented Forest Laws by Forest Change Monitoring,Main adviser 'Bienvenido G. Carcellar III' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.,pending-review,
missing keywords,manual review required,46,bsge-2018-045,2018,Using Remote Sensing and ARIMA Modelling in Assessing the Effectiveness of Implemented Forest Laws by Forest Change Monitoring,Source keywords are blank; do not fabricate.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,47,bsge-2018-046,2018,Detecting and Monitoring Aquaculture Structures using Object-based Image Analysis in Laguna de Bay using DIWATA-1 and Landsat 8 Images,Main adviser 'Mark Edwin A. Tupas' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,48,bsge-2018-047,2018,"GIS-based Comparative Analysis of Solid Waste Collection Systems in Barangays Central and Pinyahan, Quezon City",Main adviser 'Ransie Joy A. Apura' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.,pending-review,
missing keywords,manual review required,48,bsge-2018-047,2018,"GIS-based Comparative Analysis of Solid Waste Collection Systems in Barangays Central and Pinyahan, Quezon City",Source keywords are blank; do not fabricate.,pending-review,
missing keywords,manual review required,53,bsge-2019-052,2019,Estimation of Chlorophyll-a Concentration in Sampaloc Lake using UAS Multispectral Remote Sensing and Regression Analysis,Source keywords are blank; do not fabricate.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,59,bsge-2019-058,2019,Correlation of UAV-based Multispectral Vegetation Indices and Leaf Color Chart Observations for Nitrogen Concentration Assessment on Rice Crops,Main adviser 'Louie P. Balicanta' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,60,bsge-2019-059,2019,Proposed Sugarcane Phenotyping System for SRA-LAREC Experimental Plots through UAV-based Remote Sensing,Main adviser 'Mark Edwin A. Tupas' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,61,bsge-2019-060,2019,"Bathymetric Mapping of Shallow Waters of Lian, Batangas using Unmanned Aerial Vehicle (UAV)",Main adviser 'Roseanne V. Ramos' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,62,bsge-2019-061,2019,"Assessment of White Grub Infestation of Sugarcane in Barangay Calan, Balayan, Batangas using Sentinel-2B Multispectral Images",Main adviser 'Roseanne V. Ramos' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,63,bsge-2019-062,2019,Estimation and Analysis of Aerosol Optical Thickness (AOT) in Metro Manila from 2015 to 2018 using Remote Sensing and GIS,Main adviser 'Roseanne V. Ramos' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,64,bsge-2019-063,2019,"Deriving Hard Coral Cover in Lian, Batangas using Planetscope Imagery by Mixture Tuned Matched Filtering Technique",Main adviser 'Roseanne V. Ramos' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,65,bsge-2019-064,2019,Determination of Drainage Pipe Conditions using Ground Penetrating Radar (GPR),Main adviser 'Roseanne V. Ramos' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,66,bsge-2019-065,2019,"Assessment of Seagrass Percent Cover and Water Quality using UAV Images and Field Measurements in Bolinao, Pangasinan",Main adviser 'Roseanne V. Ramos' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.,pending-review,
missing abstract,manual review required,67,bsge-2021-066,2021,"Coconut Tree (Cocos Nucifera) Detection and Counting from Worldview-3 Imagery Using Object-Based Image Analysis, Local Peak Detection, and Template Matching",Source abstract is blank; do not fabricate.,pending-review,
missing keywords,manual review required,67,bsge-2021-066,2021,"Coconut Tree (Cocos Nucifera) Detection and Counting from Worldview-3 Imagery Using Object-Based Image Analysis, Local Peak Detection, and Template Matching",Source keywords are blank; do not fabricate.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,68,bsge-2021-067,2021,"Archaeological Feature Detection for Shipwrecks Site Exploration Using Remote Sensing along Mestizo River in Caoayan, Ilocos Sur.","Main adviser 'SARMIENTO, Czar Jakiri S.' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.",pending-review,
missing abstract,manual review required,68,bsge-2021-067,2021,"Archaeological Feature Detection for Shipwrecks Site Exploration Using Remote Sensing along Mestizo River in Caoayan, Ilocos Sur.",Source abstract is blank; do not fabricate.,pending-review,
missing keywords,manual review required,68,bsge-2021-067,2021,"Archaeological Feature Detection for Shipwrecks Site Exploration Using Remote Sensing along Mestizo River in Caoayan, Ilocos Sur.",Source keywords are blank; do not fabricate.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,69,bsge-2021-068,2021,Archaeological Feature Detection of the Historical Gold Trade Network in Northwestern Luzon Using High-Resolution Satellite Images and Lidar-derived Digital Terrain Model.,"Main adviser 'SARMIENTO, Czar Jakiri S.' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.",pending-review,
missing abstract,manual review required,69,bsge-2021-068,2021,Archaeological Feature Detection of the Historical Gold Trade Network in Northwestern Luzon Using High-Resolution Satellite Images and Lidar-derived Digital Terrain Model.,Source abstract is blank; do not fabricate.,pending-review,
missing keywords,manual review required,69,bsge-2021-068,2021,Archaeological Feature Detection of the Historical Gold Trade Network in Northwestern Luzon Using High-Resolution Satellite Images and Lidar-derived Digital Terrain Model.,Source keywords are blank; do not fabricate.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,70,bsge-2021-069,2021,"Geovisualization of “Busyness” of Establishments Along Maginhawa Street, Quezon City for the Management of “New Normal” Under the Food Service Category Using Geographic Information Systems.","Main adviser 'SARMIENTO, Czar Jakiri S.' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.",pending-review,
missing abstract,manual review required,70,bsge-2021-069,2021,"Geovisualization of “Busyness” of Establishments Along Maginhawa Street, Quezon City for the Management of “New Normal” Under the Food Service Category Using Geographic Information Systems.",Source abstract is blank; do not fabricate.,pending-review,
missing keywords,manual review required,70,bsge-2021-069,2021,"Geovisualization of “Busyness” of Establishments Along Maginhawa Street, Quezon City for the Management of “New Normal” Under the Food Service Category Using Geographic Information Systems.",Source keywords are blank; do not fabricate.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,71,bsge-2021-070,2021,Post-Disaster Remote Reconnaissance of the 2020 Taal Volcano Eruption Using Diwata-2 Satellite Images and Social Media Data,"Main adviser 'SARMIENTO, Czar Jakiri S.' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.",pending-review,
missing abstract,manual review required,71,bsge-2021-070,2021,Post-Disaster Remote Reconnaissance of the 2020 Taal Volcano Eruption Using Diwata-2 Satellite Images and Social Media Data,Source abstract is blank; do not fabricate.,pending-review,
missing keywords,manual review required,71,bsge-2021-070,2021,Post-Disaster Remote Reconnaissance of the 2020 Taal Volcano Eruption Using Diwata-2 Satellite Images and Social Media Data,Source keywords are blank; do not fabricate.,pending-review,
co-advised-only association,expected non-EnviSAGE adviser,89,bsge-2023-088,2023,Bites and Pixels: Dengue Risk Zone Map of Quezon City Based on Environmental and Socioeconomic Variables using Geographic Information System and Remoste Sensing,Main adviser 'Bienvenido G. Carcellar III' is not matched to EnviSAGE faculty; EnviSAGE match is in co-advisers.,pending-review,
